image_url,attractiveness,name
trained_data/img0.jpg,9,Sukuna
trained_data/img1.jpg,8,Toji,
trained_data/img2.jpg,7,Megumi
trained_data/img3.jpg,1,IDK
trained_data/img4.jpg,5.5,Naruto
trained_data/img5.jpg,10,Gojo
trained_data/img6.jpg,3,Hinata
trained_data/img7.jpg,9,Pale girl
trained_data/img8.jpg,8.5,Yor
trained_data/img9.jpg,3.5,Goku
trained_data/img10.jpg,6,Forgor
trained_data/img11.jpg,5.3,Mikasa
trained_data/img12.jpg,9.9,Ultimate waif
trained_data/img13.jpg,8,Kaga Kouko
trained_data/img14.jpg,8.8,Mari
trained_data/img15.jpg,9,Yesgirl
trained_data/img16.jpg,2,Sakura
trained_data/img17.jpg,3.3,Midoriya
